scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
swing-volume-profile-pro	1h	SOLUSD	74	42	139.02	1.246	0.101	-43.36	5	125
swing-volume-profile-pro	4h	LINKUSD	48	20	-182.77	0.635	-0.202	-212.71	2	333
stealthtrail-supertrend	15m	LINKUSD	164	55	-459.67	0.612	-0.180	-604.33	2	42
swing-volume-profile-pro	15m	SOLUSD	76	30	-394.07	0.391	-0.332	-397.09	1	42
swing-volume-profile-pro	1h	LINKUSD	71	37	37.93	1.062	0.043	12.28	3	125
stealthtrail-supertrend	1h	BTCUSD	83	35	-257.79	0.568	-0.174	-316.39	2	125
stealthtrail-supertrend	4h	BTCUSD	60	21	-98.51	0.776	-0.086	-116.25	2	333
stealthtrail-supertrend-ml-pro	15m	BTCUSD	68	25	-209.11	0.584	-0.168	-274.70	2	42
stealthtrail-supertrend	4h	SOLUSD	63	19	-46.90	0.858	-0.061	-77.04	3	333
stealthtrail-supertrend	1h	SOLUSD	82	33	-36.22	0.930	-0.022	-76.24	4	125
stealthtrail-supertrend	4h	LINKUSD	59	19	-74.58	0.773	-0.063	-125.29	3	333
stealthtrail-supertrend-ml-pro	4h	SOLUSD	23	6	18.00	1.182	0.072	14.37	4	333
swing-volume-profile-pro	15m	LINKUSD	87	39	-185.40	0.793	-0.102	-328.68	3	42
elliott-wave	15m	BTCUSD	17	7	-56.86	0.715	-0.151	-99.43	3	42
stealthtrail-supertrend	1h	LINKUSD	88	36	-138.19	0.767	-0.077	-202.29	3	125
stealthtrail-supertrend-ml-pro	1h	SOLUSD	68	26	-169.18	0.641	-0.130	-175.69	2	125
elliott-wave	4h	BTCUSD	16	11	152.60	2.387	0.492	99.29	5	333
dynamic-trend-bands-anchored-vwap-signals	15m	BTCUSD	21	12	7.35	1.041	0.036	20.22	2	42
elliott-wave	1h	BTCUSD	31	15	4.46	1.016	0.021	-111.66	4	125
elliott-wave	4h	SOLUSD	13	3	-114.38	0.319	-0.462	-109.14	1	333
dynamic-trend-bands-anchored-vwap-signals	15m	SOLUSD	50	24	-56.67	0.894	-0.050	-208.04	3	42
elliott-wave	15m	SOLUSD	41	20	-149.04	0.572	-0.192	-223.08	2	42
elliott-wave	4h	LINKUSD	14	6	-52.61	0.615	-0.189	-60.43	2	333
elliott-wave	1h	SOLUSD	38	28	261.13	2.220	0.323	62.82	5	125
dynamic-trend-bands-anchored-vwap-signals	15m	LINKUSD	56	29	110.49	1.168	0.116	36.15	4	42
dynamic-trend-bands-anchored-vwap-signals	1h	BTCUSD	28	10	-213.24	0.322	-0.428	-236.69	0	125
dynamic-trend-bands-anchored-vwap-signals	4h	BTCUSD	30	13	-99.65	0.692	-0.171	-118.35	2	333
dynamic-trend-bands-anchored-vwap-signals	4h	SOLUSD	33	19	31.16	1.118	0.070	6.36	3	333
dynamic-trend-bands-anchored-vwap-signals	1h	SOLUSD	39	20	-130.81	0.623	-0.182	-184.37	2	125
elliott-wave	1h	LINKUSD	43	18	-95.35	0.788	-0.102	-141.63	4	125
dynamic-trend-bands-anchored-vwap-signals	4h	LINKUSD	27	13	-63.63	0.770	-0.113	-102.09	3	333
elliott-wave	15m	LINKUSD	51	25	-93.22	0.805	-0.086	-221.09	3	42
stealthtrail-supertrend-ml-pro	4h	LINKUSD	23	4	-48.20	0.630	-0.108	-51.37	3	333
kinetic-momentum-vectors	1h	BTCUSD	21	10	-15.78	0.925	-0.020	-80.61	3	125
kinetic-momentum-vectors	15m	BTCUSD	17	9	32.11	1.204	0.109	-14.03	4	42
dynamic-trend-bands-anchored-vwap-signals	1h	LINKUSD	40	16	-190.53	0.579	-0.256	-193.10	2	125
kinetic-momentum-vectors	4h	BTCUSD	15	8	38.56	1.283	0.161	-3.63	4	333
kinetic-momentum-vectors	1h	SOLUSD	22	13	72.46	1.410	0.180	23.18	3	125
kinetic-momentum-vectors	4h	SOLUSD	14	6	-36.10	0.754	-0.124	-40.53	3	333
kinetic-momentum-vectors	15m	SOLUSD	29	16	-75.70	0.682	-0.134	-126.82	3	42
kinetic-momentum-vectors	1h	LINKUSD	25	12	-92.96	0.621	-0.188	-85.78	3	125
kinetic-momentum-vectors	4h	LINKUSD	11	4	-90.31	0.325	-0.425	-94.05	2	333
kinetic-momentum-vectors	15m	LINKUSD	30	12	-158.71	0.509	-0.281	-225.74	2	42
stealthtrail-supertrend-ml-pro	15m	SOLUSD	96	37	-238.24	0.670	-0.141	-377.74	3	42
stealthtrail-supertrend-ml-pro	1h	LINKUSD	77	29	-148.93	0.743	-0.097	-212.05	4	125
triangular-hull-moving-average-volatility	1h	BTCUSD	41	25	107.48	1.336	0.140	-56.74	4	125
triangular-hull-moving-average-volatility	15m	BTCUSD	15	6	-116.47	0.299	-0.411	-150.47	1	42
triangular-hull-moving-average-volatility	4h	BTCUSD	33	12	-162.63	0.562	-0.285	-161.57	2	333
triangular-hull-moving-average-volatility	1h	SOLUSD	44	23	-141.17	0.639	-0.172	-158.49	2	125
triangular-hull-moving-average-volatility	4h	SOLUSD	36	12	-174.17	0.545	-0.276	-288.76	2	333
session-killzones-breakouts	4h	BTCUSD	306	118	-353.63	0.816	-0.066	-578.83	3	333
triangular-hull-moving-average-volatility	4h	LINKUSD	35	14	-200.19	0.483	-0.314	-241.91	2	333
session-killzones-breakouts	1h	BTCUSD	162	82	-193.14	0.849	-0.055	-550.97	3	125
triangular-hull-moving-average-volatility	15m	SOLUSD	51	22	-122.96	0.774	-0.114	-216.55	3	42
triangular-hull-moving-average-volatility	1h	LINKUSD	47	24	2.21	1.005	0.014	-84.60	4	125
pivot-channel-breaks	15m	BTCUSD	20	11	-26.70	0.843	-0.064	-51.49	3	42
pivot-channel-breaks	1h	BTCUSD	39	19	-31.59	0.911	-0.019	-178.54	3	125
pivot-channel-breaks	1h	SOLUSD	41	22	-14.67	0.959	-0.001	-28.24	2	125
triangular-hull-moving-average-volatility	15m	LINKUSD	63	27	-298.69	0.516	-0.271	-347.75	2	42
pivot-channel-breaks	15m	SOLUSD	42	18	-74.88	0.836	-0.076	-152.06	3	42
session-killzones-breakouts	4h	SOLUSD	315	131	-71.06	0.963	-0.011	-368.01	4	333
pivot-channel-breaks	4h	BTCUSD	25	11	-106.91	0.579	-0.232	-149.48	3	333
pivot-channel-breaks	1h	LINKUSD	42	21	50.35	1.130	0.076	-69.96	4	125
pivot-channel-breaks	4h	SOLUSD	23	7	-88.26	0.675	-0.197	-105.13	1	333
pivot-channel-breaks	15m	LINKUSD	57	23	-290.25	0.505	-0.292	-396.67	1	42
pivot-channel-breaks	4h	LINKUSD	25	11	-95.07	0.632	-0.192	-103.42	2	333
high-volume-breakout-targets	4h	BTCUSD	11	6	-16.37	0.830	-0.064	-24.36	5	333
session-killzones-breakouts	1h	SOLUSD	180	84	-297.66	0.772	-0.088	-428.64	3	125
high-volume-breakout-targets	1h	BTCUSD	11	9	219.86	9.523	0.939	134.98	6	125
session-killzones-breakouts	15m	BTCUSD	26	14	14.52	1.056	0.043	-35.59	3	42
session-killzones-breakouts	4h	LINKUSD	331	124	-255.29	0.865	-0.037	-523.22	2	333
high-volume-breakout-targets	15m	BTCUSD	8	4	30.87	1.400	0.226	14.78	4	42
high-volume-breakout-targets	4h	SOLUSD	16	8	-26.96	0.819	-0.095	-43.68	3	333
reversal-signals-trailing-stop	15m	BTCUSD	15	7	-88.11	0.401	-0.309	-124.92	3	42
high-volume-breakout-targets	1h	SOLUSD	16	7	27.87	1.166	0.111	22.57	2	125
high-volume-breakout-targets	4h	LINKUSD	16	9	69.66	1.523	0.225	53.61	5	333
reversal-signals-trailing-stop	15m	SOLUSD	16	7	-81.73	0.518	-0.260	-98.90	2	42
high-volume-breakout-targets	15m	SOLUSD	20	7	-169.63	0.260	-0.467	-170.96	1	42
reversal-signals-trailing-stop	1h	BTCUSD	9	7	85.00	3.122	0.472	55.74	6	125
high-volume-breakout-targets	1h	LINKUSD	16	6	-93.36	0.522	-0.297	-132.06	2	125
reversal-signals-trailing-stop	15m	LINKUSD	14	4	-121.23	0.347	-0.455	-135.76	3	42
reversal-signals-trailing-stop	1h	SOLUSD	14	8	-36.12	0.684	-0.134	-87.99	5	125
reversal-signals-trailing-stop	4h	BTCUSD	5	1	-66.44	0.102	-0.712	-67.05	0	333
session-killzones-breakouts	1h	LINKUSD	185	85	-291.90	0.809	-0.082	-519.70	3	125
stealthtrail-supertrend-ml-pro	15m	LINKUSD	145	52	-416.93	0.605	-0.178	-553.53	2	42
reversal-signals-trailing-stop	4h	SOLUSD	6	5	46.90	3.317	0.436	10.27	4	333
reversal-signals-trailing-stop	1h	LINKUSD	10	6	-18.98	0.762	-0.089	-19.42	3	125
breakout-targets	15m	BTCUSD	4	2	-25.99	0.270	-0.329	-25.31	2	42
breakout-targets	4h	BTCUSD	7	3	-31.55	0.583	-0.239	-38.04	2	333
high-volume-breakout-targets	15m	LINKUSD	21	12	89.01	1.441	0.225	-19.01	3	42
breakout-targets	1h	BTCUSD	13	6	19.94	1.147	0.098	-20.01	3	125
reversal-signals-trailing-stop	4h	LINKUSD	5	3	12.36	1.314	0.131	7.97	2	333
breakout-targets	4h	SOLUSD	7	3	-25.55	0.647	-0.205	-34.82	3	333
smart-money-breakout-signals	4h	BTCUSD	22	8	-65.79	0.745	-0.136	-147.97	3	333
breakout-targets	4h	LINKUSD	7	2	-59.19	0.389	-0.430	-64.03	1	333
breakout-targets	1h	SOLUSD	12	5	-38.30	0.712	-0.158	-48.62	3	125
smart-money-breakout-signals	1h	BTCUSD	29	15	-10.20	0.963	0.001	-93.30	3	125
smart-money-breakout-signals	15m	BTCUSD	11	3	-94.06	0.341	-0.447	-114.68	1	42
breakout-targets	15m	SOLUSD	12	5	2.06	1.015	0.027	-36.92	3	42
smart-money-breakout-signals	4h	SOLUSD	21	6	-171.25	0.338	-0.459	-185.36	2	333
smart-money-breakout-signals	4h	LINKUSD	20	13	81.36	1.532	0.208	48.07	5	333
breakout-targets	1h	LINKUSD	12	8	79.30	1.959	0.333	24.64	5	125
smart-money-breakout-signals	1h	SOLUSD	30	15	-12.22	0.956	-0.009	-59.28	3	125
smart-money-breakout-signals	15m	SOLUSD	31	16	-45.04	0.845	-0.063	-94.44	2	42
breakout-targets	15m	LINKUSD	11	5	-76.39	0.332	-0.356	-81.05	1	42
smart-money-breakout-signals	1h	LINKUSD	35	17	24.37	1.064	0.053	-20.02	5	125
smart-money-breakout-signals	15m	LINKUSD	36	21	136.59	1.405	0.196	27.69	5	42
smart-swing-vwap-zeiierman	4h	BTCUSD	36	22	117.75	1.410	0.168	68.47	5	333
session-killzones-breakouts	15m	SOLUSD	65	34	-19.85	0.968	-0.003	-152.35	4	42
smart-swing-vwap-zeiierman	15m	BTCUSD	19	9	-103.63	0.435	-0.286	-159.80	2	42
smart-swing-vwap-zeiierman	4h	SOLUSD	32	15	-79.61	0.748	-0.102	-101.27	2	333
smart-swing-vwap-zeiierman	1h	BTCUSD	44	20	-126.61	0.690	-0.143	-248.36	3	125
smart-swing-vwap-zeiierman	4h	LINKUSD	34	20	76.24	1.274	0.119	45.19	3	333
smart-swing-vwap-zeiierman	15m	SOLUSD	51	28	-16.01	0.961	-0.008	-148.23	3	42
smart-swing-vwap-zeiierman	1h	SOLUSD	53	26	-68.95	0.869	-0.055	-45.91	5	125
session-killzones-breakouts	15m	LINKUSD	74	38	-16.85	0.977	0.003	-180.20	4	42
smart-swing-vwap-zeiierman	15m	LINKUSD	61	29	-26.09	0.959	-0.005	-199.90	4	42
smart-swing-vwap-zeiierman	1h	LINKUSD	56	25	-188.37	0.675	-0.174	-220.72	2	125
market-memory-average-zeiierman	4h	BTCUSD	34	17	173.60	1.609	0.260	108.40	5	333
market-memory-average-zeiierman	15m	BTCUSD	14	8	-17.24	0.791	-0.058	-77.13	5	42
market-memory-average-zeiierman	1h	BTCUSD	49	24	-91.70	0.810	-0.086	-201.25	2	125
market-memory-average-zeiierman	4h	SOLUSD	36	19	159.73	1.544	0.222	68.66	4	333
machine-learning-rsi-ai-classification-ranking-zeiierman	4h	BTCUSD	53	28	-73.29	0.849	-0.068	-172.89	4	333
market-memory-average-zeiierman	1h	SOLUSD	66	39	137.45	1.285	0.107	-90.16	6	125
market-memory-average-zeiierman	4h	LINKUSD	50	20	-212.31	0.567	-0.233	-271.87	1	333
market-memory-average-zeiierman	15m	SOLUSD	52	25	-177.57	0.611	-0.184	-231.97	2	42
ai-predictive-flow-zeiierman	15m	BTCUSD	88	38	-333.42	0.450	-0.228	-434.52	2	42
machine-learning-rsi-ai-classification-ranking-zeiierman	1h	BTCUSD	65	34	-88.79	0.841	-0.061	-326.80	3	125
market-memory-average-zeiierman	1h	LINKUSD	62	35	-52.88	0.892	-0.036	-133.59	3	125
market-memory-average-zeiierman	15m	LINKUSD	63	33	-46.04	0.903	-0.029	-269.38	3	42
ai-predictive-flow-zeiierman	1h	BTCUSD	192	86	-354.09	0.723	-0.107	-568.94	2	125
ai-predictive-flow-zeiierman	4h	BTCUSD	149	66	-302.19	0.749	-0.114	-368.74	1	333
machine-learning-rsi-ai-classification-ranking-zeiierman	4h	SOLUSD	59	22	-315.16	0.418	-0.332	-233.84	2	333
machine-learning-rsi-ai-classification-ranking-zeiierman	15m	BTCUSD	21	10	-22.08	0.896	-0.038	-50.46	3	42
ai-predictive-flow-zeiierman	4h	SOLUSD	152	68	-240.80	0.795	-0.093	-290.49	3	333
ai-predictive-flow-zeiierman	1h	SOLUSD	211	95	-401.63	0.744	-0.115	-568.23	1	125
ai-predictive-flow-zeiierman	15m	SOLUSD	229	115	-295.80	0.788	-0.071	-616.67	1	42
anchored-value-distribution-oscillator-zeiierman	15m	BTCUSD	240	85	-430.22	0.709	-0.113	-677.89	2	42
ai-predictive-flow-zeiierman	4h	LINKUSD	163	64	-540.36	0.538	-0.233	-556.57	1	333
machine-learning-rsi-ai-classification-ranking-zeiierman	1h	SOLUSD	70	39	55.71	1.101	0.055	-192.90	3	125
ai-predictive-flow-zeiierman	1h	LINKUSD	237	110	-306.37	0.809	-0.068	-566.60	3	125
anchored-value-distribution-oscillator-zeiierman	15m	SOLUSD	509	172	-776.36	0.631	-0.148	-900.85	0	42
anchored-value-distribution-oscillator-zeiierman	1h	BTCUSD	388	133	-658.32	0.653	-0.135	-836.22	0	125
machine-learning-rsi-ai-classification-ranking-zeiierman	4h	LINKUSD	61	29	-90.26	0.850	-0.067	-160.62	5	333
ai-predictive-flow-zeiierman	15m	LINKUSD	274	119	-655.65	0.628	-0.187	-798.44	0	42
anchored-value-distribution-oscillator-zeiierman	4h	BTCUSD	296	105	-145.89	0.903	-0.024	-441.45	2	333
supertrend-cluster-zeiierman	1h	BTCUSD	47	24	-123.73	0.705	-0.135	-224.19	3	125
supertrend-cluster-zeiierman	15m	BTCUSD	16	13	68.28	2.165	0.214	-67.22	5	42
supertrend-cluster-zeiierman	1h	SOLUSD	58	29	-107.34	0.801	-0.092	-194.60	3	125
supertrend-cluster-zeiierman	15m	SOLUSD	35	22	-15.62	0.935	-0.015	-120.39	4	42
supertrend-cluster-zeiierman	1h	LINKUSD	59	24	-246.51	0.601	-0.230	-341.50	2	125
anchored-value-distribution-oscillator-zeiierman	4h	SOLUSD	324	110	-285.13	0.837	-0.047	-448.98	2	333
supertrend-cluster-zeiierman	15m	LINKUSD	50	22	-198.51	0.600	-0.209	-327.09	2	42
supertrend-cluster-zeiierman	4h	BTCUSD	35	17	-72.81	0.777	-0.113	-102.53	5	333
anchored-value-distribution-oscillator-zeiierman	1h	SOLUSD	430	167	-507.26	0.776	-0.080	-736.28	1	125
supertrend-cluster-zeiierman	4h	SOLUSD	41	14	-171.33	0.625	-0.234	-199.05	1	333
supertrend-cluster-zeiierman	4h	LINKUSD	37	15	-178.13	0.548	-0.259	-191.36	2	333
anchored-value-distribution-oscillator-zeiierman	15m	LINKUSD	583	213	-783.55	0.627	-0.124	-941.42	2	42
bollinger-bands-forecast-with-signals-zeiierman	15m	BTCUSD	13	7	-38.32	0.677	-0.144	-62.07	2	42
bollinger-bands-forecast-with-signals-zeiierman	4h	BTCUSD	28	17	152.56	1.704	0.275	160.96	5	333
bollinger-bands-forecast-with-signals-zeiierman	1h	BTCUSD	36	14	-127.11	0.708	-0.178	-220.78	3	125
anchored-value-distribution-oscillator-zeiierman	4h	LINKUSD	338	100	-656.15	0.544	-0.154	-739.28	1	333
bollinger-bands-forecast-with-signals-zeiierman	4h	SOLUSD	22	9	-125.19	0.470	-0.306	-134.80	1	333
bollinger-bands-forecast-with-signals-zeiierman	1h	SOLUSD	41	17	-156.76	0.648	-0.201	-186.60	2	125
bollinger-bands-forecast-with-signals-zeiierman	4h	LINKUSD	25	11	-89.30	0.668	-0.178	-157.13	2	333
bollinger-bands-forecast-with-signals-zeiierman	15m	SOLUSD	40	29	198.46	1.859	0.239	-58.28	5	42
bollinger-bands-forecast-with-signals-zeiierman	1h	LINKUSD	44	21	-200.02	0.509	-0.247	-264.89	1	125
bollinger-bands-forecast-with-signals-zeiierman	15m	LINKUSD	42	24	-44.81	0.868	-0.046	-220.57	3	42
anchored-value-distribution-oscillator-zeiierman	1h	LINKUSD	499	178	-694.66	0.679	-0.114	-860.14	2	125
machine-learning-rsi-ai-classification-ranking-zeiierman	1h	LINKUSD	84	40	-109.26	0.860	-0.057	-281.45	3	125
dynamic-rsi-regression-bands-zeiierman	15m	BTCUSD	0	0	0.00	0.000	0.000	0.00	0	42
dynamic-rsi-regression-bands-zeiierman	4h	BTCUSD	1	1	18.68	99.000	0.963	15.98	1	333
dynamic-rsi-regression-bands-zeiierman	1h	BTCUSD	4	3	25.85	60.071	0.325	10.93	2	125
dynamic-rsi-regression-bands-zeiierman	4h	SOLUSD	3	0	-51.92	0.000	-1.000	-54.14	0	333
dynamic-rsi-regression-bands-zeiierman	1h	SOLUSD	4	1	-42.78	0.261	-0.544	-46.07	0	125
dynamic-rsi-regression-bands-zeiierman	4h	LINKUSD	10	3	-76.18	0.434	-0.388	-86.16	1	333
dynamic-rsi-regression-bands-zeiierman	15m	SOLUSD	4	3	28.13	2.615	0.343	30.40	2	42
dynamic-rsi-regression-bands-zeiierman	1h	LINKUSD	7	4	57.56	1.955	0.422	12.01	1	125
machine-learning-rsi-ai-classification-ranking-zeiierman	15m	SOLUSD	59	26	-162.23	0.747	-0.137	-301.90	2	42
dynamic-rsi-regression-bands-zeiierman	15m	LINKUSD	11	5	-66.82	0.425	-0.308	-102.95	0	42
adaptive-moving-average-ama-signals-zeiierman	1h	BTCUSD	9	2	-103.11	0.206	-0.609	-111.61	1	125
adaptive-moving-average-ama-signals-zeiierman	15m	BTCUSD	7	4	-20.48	0.650	-0.148	-56.18	1	42
adaptive-moving-average-ama-signals-zeiierman	4h	BTCUSD	5	2	-23.28	0.600	-0.236	-34.56	2	333
adaptive-moving-average-ama-signals-zeiierman	1h	SOLUSD	8	4	-36.48	0.534	-0.222	-44.51	3	125
adaptive-moving-average-ama-signals-zeiierman	15m	SOLUSD	3	2	2.75	1.150	0.054	-2.67	2	42
adaptive-moving-average-ama-signals-zeiierman	4h	SOLUSD	7	4	-16.65	0.713	-0.119	-20.69	3	333
adaptive-moving-average-ama-signals-zeiierman	1h	LINKUSD	11	5	-38.10	0.684	-0.168	-45.51	2	125
adaptive-moving-average-ama-signals-zeiierman	4h	LINKUSD	5	2	-18.70	0.681	-0.183	-22.48	1	333
adaptive-moving-average-ama-signals-zeiierman	15m	LINKUSD	13	8	-3.07	0.970	-0.006	-5.74	4	42
volume-supertrend-ai-expo	1h	BTCUSD	42	22	-57.27	0.844	-0.061	-140.25	3	125
volume-supertrend-ai-expo	15m	BTCUSD	13	9	29.79	1.381	0.122	-10.53	6	42
volume-supertrend-ai-expo	4h	BTCUSD	32	13	-49.34	0.856	-0.071	-103.66	3	333
volume-supertrend-ai-expo	1h	SOLUSD	47	23	-66.10	0.851	-0.064	-188.27	3	125
volume-supertrend-ai-expo	4h	SOLUSD	33	12	-204.82	0.416	-0.377	-247.80	1	333
volume-supertrend-ai-expo	15m	SOLUSD	32	17	-99.73	0.644	-0.159	-160.55	2	42
volume-supertrend-ai-expo	1h	LINKUSD	49	26	17.25	1.039	0.032	-107.90	2	125
volume-supertrend-ai-expo	4h	LINKUSD	31	15	-112.83	0.610	-0.189	-122.48	3	333
volume-supertrend-ai-expo	15m	LINKUSD	55	30	-96.09	0.782	-0.083	-190.19	3	42
momentum-sequence-strategy	1h	BTCUSD	9	5	-13.90	0.815	-0.069	-27.43	2	125
momentum-sequence-strategy	15m	BTCUSD	8	5	91.47	2.380	0.584	45.47	2	42
momentum-sequence-strategy	1h	SOLUSD	17	10	49.62	1.340	0.162	-18.18	4	125
momentum-sequence-strategy	4h	BTCUSD	18	9	26.07	1.152	0.087	-13.10	2	333
momentum-sequence-strategy	15m	SOLUSD	23	15	88.30	1.527	0.198	-43.02	3	42
momentum-sequence-strategy	1h	LINKUSD	12	4	-77.19	0.503	-0.326	-94.19	2	125
momentum-sequence-strategy	4h	SOLUSD	8	2	-64.85	0.378	-0.429	-64.55	2	333
momentum-sequence-strategy	4h	LINKUSD	5	5	127.23	99.000	1.222	116.71	4	333
momentum-sequence-strategy	15m	LINKUSD	15	6	35.18	1.174	0.151	-0.32	2	42
trend-survival-matrix	15m	BTCUSD	14	7	-68.93	0.413	-0.252	-117.23	3	42
trend-survival-matrix	1h	BTCUSD	40	23	67.55	1.214	0.098	-23.14	4	125
trend-survival-matrix	4h	BTCUSD	33	14	-181.97	0.424	-0.303	-201.73	3	333
trend-survival-matrix	1h	SOLUSD	57	34	-61.22	0.857	-0.049	-57.44	4	125
trend-survival-matrix	15m	SOLUSD	40	18	-184.87	0.524	-0.254	-259.46	2	42
trend-survival-matrix	4h	SOLUSD	31	19	91.94	1.458	0.137	-16.82	5	333
trend-survival-matrix	1h	LINKUSD	53	26	-33.03	0.932	-0.017	-154.00	3	125
trend-survival-matrix	4h	LINKUSD	35	15	-145.80	0.600	-0.218	-194.01	2	333
trend-survival-matrix	15m	LINKUSD	44	18	-287.43	0.327	-0.379	-343.96	1	42
smart-flow-imbalance	4h	BTCUSD	53	24	-100.60	0.809	-0.084	-229.49	2	333
smart-flow-imbalance	15m	BTCUSD	21	13	34.50	1.220	0.090	5.58	4	42
smart-flow-imbalance	4h	SOLUSD	52	23	-49.98	0.902	-0.040	-133.80	4	333
smart-flow-imbalance	1h	BTCUSD	73	35	-22.69	0.967	0.001	-289.79	4	125
smart-flow-imbalance	4h	LINKUSD	49	26	-24.02	0.947	-0.015	-94.98	2	333
